per,date,num1,num2,num3,num4,num5,num6,num7
106043,2017-05-16,05,06,07,14,29,46,24
106044,2017-05-19,15,16,21,23,28,46,14
106045,2017-05-23,02,10,15,22,26,32,42
106046,2017-05-26,08,14,16,19,21,35,20
106047,2017-05-30,07,14,19,30,31,39,40
106048,2017-06-02,03,07,08,23,30,31,32
106049,2017-06-06,14,16,25,32,36,48,12
106050,2017-06-09,24,26,31,32,37,46,1
106051,2017-06-13,02,04,17,22,36,43,40
106052,2017-06-16,01,15,21,26,36,45,10
106053,2017-06-20,01,12,29,30,33,44,19
106054,2017-06-23,02,08,12,34,41,42,7
106055,2017-06-27,11,33,34,46,47,49,38
106056,2017-06-30,08,12,22,30,32,36,6
106057,2017-07-04,04,21,27,28,30,35,42
106058,2017-07-07,18,30,40,42,44,49,8
106059,2017-07-11,06,16,19,23,33,39,7
106060,2017-07-14,16,18,19,25,26,32,22
106061,2017-07-18,13,14,21,29,42,48,11
106062,2017-07-21,02,12,24,32,42,47,29
106063,2017-07-25,02,11,23,30,33,42,7
106064,2017-07-28,11,13,18,22,38,39,3
106065,2017-08-01,02,12,21,30,42,47,31
106066,2017-08-04,15,16,26,27,39,45,37
106067,2017-08-08,06,09,23,27,34,46,20
106068,2017-08-11,02,08,09,18,27,37,33
106069,2017-08-15,13,16,27,28,33,42,11
106070,2017-08-18,07,10,12,35,38,47,23
106071,2017-08-22,04,10,13,36,44,45,5
106072,2017-08-25,01,04,19,24,28,31,49
106073,2017-08-29,05,18,25,31,48,49,44
106074,2017-09-01,05,11,14,16,36,40,46
106075,2017-09-05,13,17,23,27,33,41,2
106076,2017-09-08,08,13,15,19,29,42,25
106077,2017-09-12,07,23,29,36,45,49,14
106078,2017-09-15,03,08,11,16,33,37,35
106079,2017-09-19,02,12,15,18,37,40,39
106080,2017-09-22,18,35,39,43,47,49,44
106081,2017-09-26,10,11,14,19,22,38,42
106082,2017-09-29,03,14,16,21,33,36,20
106083,2017-10-03,15,18,25,30,33,44,38
106084,2017-10-06,04,28,32,37,41,45,47
106085,2017-10-10,06,28,29,30,31,39,33
106086,2017-10-13,05,08,23,34,44,46,16
106087,2017-10-17,01,03,06,11,19,27,5
106088,2017-10-20,03,08,18,19,26,42,17
106089,2017-10-24,02,03,05,14,16,29,32
106090,2017-10-27,02,11,17,22,38,40,41
106091,2017-10-31,04,25,31,36,39,46,2
106092,2017-11-03,08,20,23,33,36,43,2
